"TITLE","AWGN","S/N","P1","SPREAD_1","OFFSET_1","P2","DELAY_2","SPREAD_2","OFFSET_2","P3","DELAY_3","SPREAD_3","OFFSET_3"
"CCIR_520_2_Doppler_Fading",0,0,1,0.2,10,1,0.5,0.2,5,0,0,0,0
"CCIR_520_2_Flutter_Fading",0,0,1,10,0,1,0.5,10,0,0,0,0,0
"CCIR_520_2_Good_Conditions",0,0,1,0.1,0,1,0.5,0.1,0,0,0,0,0
"CCIR_520_2_Moderate_Conditions",0,0,1,0.5,0,1,1,0.5,0,0,0,0,0
"CCIR_520_2_Poor_Conditions",0,0,1,0.5,0,1,2,0.5,0,0,0,0,0
"Direct_Path",0,0,0,0,0,0,0,0,0,0,0,0,0
"Frequency_Shifter",0,0,1,0,500,0,0,0,0,0,0,0,0
"High_Latitude_Disturbed",0,0,1,30,0,1,7,30,0,0,0,0,0
"High_Latitude_Moderate",0,0,1,10,0,1,3,10,0,0,0,0,0
"High_Latitude_Quiet",0,0,1,0.5,0,1,1,0.5,0,0,0,0,0
"Low_Latitude_Disturbed",0,0,1,10,0,1,6,10,0,0,0,0,0
"Low_Latitude_Moderate",0,0,1,1.5,0,1,2,1.5,0,0,0,0,0
"Low_Latitude_Quiet",0,0,1,0.5,0,1,0.5,0.5,0,0,0,0,0
"Mid_Latitude_Disturbed",0,0,1,1,0,1,2,1,0,0,0,0,0
"Mid_Latitude_Disturbed_NVIS",0,0,1,1,0,1,7,1,0,0,0,0,0
"Mid_Latitude_Moderate",0,0,1,0.5,0,1,1,0.5,0,0,0,0,0
"Mid_Latitude_Quiet",0,0,1,0.5,0,1,0.5,0.5,0,0,0,0,0
